S,E,I,R,Beta
27990,0,10,72000,3.572704537334762e-06
27989,0,11,72000,3.248029258247558e-06
27988,1,10,72001,-0.0
27988,1,7,72004,5.104228342759141e-06
27987,1,8,72004,-0.0
27987,1,7,72005,5.104410721304279e-06
27986,2,5,72007,7.146430358036161e-06
27985,3,5,72007,-0.0
27985,2,4,72009,8.933357155619082e-06
27984,3,2,72011,-0.0
27984,2,2,72012,1.786735277301315e-05
27983,3,2,72012,-0.0
27983,3,2,72012,1.7867991280420257e-05
27982,4,2,72012,1.786862983346437e-05
27981,5,2,72012,-0.0
27981,3,4,72012,-0.0
27981,3,2,72014,-0.0
27981,2,3,72014,-0.0
27981,1,2,72016,-0.0
27981,0,2,72017,-0.0
27981,0,1,72018,-0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
19990,0,10,80000,5.002501250625313e-06
19989,0,11,80000,4.547955921211212e-06
19988,1,8,80003,-0.0
19988,1,5,80006,-0.0
19988,0,4,80008,-0.0
19988,0,2,80010,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
34991,0,10,64999,2.857877739990283e-06
34990,1,10,64999,-0.0
34990,0,11,64999,-0.0
34990,0,10,65000,-0.0
34990,0,8,65002,-0.0
34990,0,6,65004,-0.0
34990,0,5,65005,-0.0
34990,0,4,65006,-0.0
34990,0,4,65006,-0.0
34990,0,3,65007,-0.0
34990,0,2,65008,-0.0
34990,0,1,65009,-0.0
34990,0,1,65009,-0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
34990,0,0,65010,0.0
40991,0,10,58999,-0.0
40991,0,10,58999,2.439559903393428e-06
40990,1,10,58999,-0.0
40990,1,10,58999,-0.0
40990,0,11,58999,-0.0
40990,0,9,59001,2.710688243745087e-06
40989,1,8,59002,3.049598672814657e-06
40988,1,8,59003,-0.0
40988,1,5,59006,-0.0
40988,0,6,59006,-0.0
40988,0,5,59007,-0.0
40988,0,3,59009,-0.0
40988,0,3,59009,-0.0
40988,0,2,59010,-0.0
40988,0,2,59010,-0.0
40988,0,2,59010,1.219869230018542e-05
40987,1,2,59010,-0.0
40987,1,2,59010,1.2198989923634324e-05
40986,1,3,59010,-0.0
40986,1,2,59011,1.21992875616064e-05
40985,2,2,59011,-0.0
40985,2,1,59012,-0.0
40985,2,0,59013,0.0
40985,2,0,59013,0.0
40985,2,0,59013,0.0
40985,1,1,59013,-0.0
40985,1,1,59013,-0.0
40985,1,1,59013,-0.0
40985,1,0,59014,0.0
40985,0,1,59014,-0.0
40985,0,1,59014,-0.0
40985,0,1,59014,2.439917042820544e-05
40984,1,1,59014,-0.0
40984,1,1,59014,-0.0
40984,1,1,59014,-0.0
40984,1,1,59014,2.4399765762248684e-05
40983,2,1,59014,-0.0
40983,2,1,59014,-0.0
40983,1,2,59014,-0.0
40983,1,1,59015,-0.0
40983,1,1,59015,2.440036112534465e-05
40982,2,1,59015,-0.0
40982,2,1,59015,-0.0
40982,1,2,59015,-0.0
40982,1,2,59015,1.2200478258747745e-05
40981,2,2,59015,-0.0
40981,2,2,59015,-0.0
40981,1,3,59015,8.133850646234434e-06
40980,1,4,59015,-0.0
40980,1,2,59017,-0.0
40980,1,2,59017,-0.0
40980,1,1,59018,-0.0
40980,0,2,59018,-0.0
40980,0,1,59019,-0.0
40980,0,1,59019,-0.0
40980,0,1,59019,-0.0
40980,0,1,59019,-0.0
40980,0,1,59019,-0.0
40980,0,1,59019,-0.0
40980,0,1,59019,-0.0
40980,0,1,59019,-0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
40980,0,0,59020,0.0
42991,0,10,56999,2.3260682468423623e-06
42990,0,11,56999,2.114656685487111e-06
42989,1,10,57000,-0.0
42989,1,6,57004,-0.0
42989,0,7,57004,-0.0
42989,0,7,57004,3.3231092339236284e-06
42988,1,7,57004,-0.0
42988,0,8,57004,-0.0
42988,0,5,57007,4.652461151949381e-06
42987,1,5,57007,-0.0
42987,1,3,57009,-0.0
42987,0,3,57010,-0.0
42987,0,3,57010,-0.0
42987,0,2,57011,-0.0
42987,0,2,57011,-0.0
42987,0,2,57011,-0.0
42987,0,2,57011,-0.0
42987,0,2,57011,-0.0
42987,0,1,57012,-0.0
42987,0,1,57012,-0.0
42987,0,1,57012,-0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
42987,0,0,57013,0.0
